ID,Title,Description,Type,Component,Severity
UI-0001,Navigation menu misalignment on mobile devices,"The navigation menu is misaligned when viewed on mobile devices, causing a poor user experience.",ui,Dashboard,Medium
SEC-0002,Insecure password storage in local storage,"User passwords are being stored in plain text in local storage, which poses a security risk.",security,Authentication,Critical
PERF-0003,Dashboard analytics load slowly during peak hours,"The analytics section of the dashboard takes a long time to load during peak usage hours, affecting user productivity.",performance,Dashboard,High
API-0004,API timeout for weather data fetch,"The application experiences a timeout when attempting to fetch weather data via the external API, resulting in incomplete data.",integration,API,Medium
DATA-0005,User profile picture not updating,"When users attempt to update their profile picture, the new image is not reflected in their profile view.",data,User Profile,Low
FEA-0006,Lack of dark mode feature,Users have expressed the need for a dark mode feature to reduce eye strain during night time usage.,feature,UI,Low
INT-0007,Third-party payment gateway integration fails,Transactions fail due to incorrect API keys used in the third-party payment gateway integration.,integration,Payment,Critical
DB-0008,Database connection pool exhaustion,"The application experiences frequent database connection pool exhaustion, leading to downtime.",performance,Database,High
UI-0009,Incorrect icon displayed for admin users,"Admin users see a standard user icon instead of the admin icon, causing confusion in the user interface.",ui,Dashboard,Low
SEC-0010,Cross-site scripting vulnerability in search,"User input is not properly sanitized in the search feature, leading to a potential cross-site scripting attack.",security,Search,Critical
API-0011,Incorrect data returned by the location API,"The location API returns inaccurate data, affecting location-based features in the application.",data,API,Medium
INT-0012,Email notifications not sent for new messages,Users do not receive email notifications for new messages due to a failure in the SMTP server configuration.,integration,Notifications,High
PERF-0013,Memory leak in image processing module,"The image processing module has a memory leak, causing the application to slow down over time.",performance,Media,Critical
FEA-0014,Request to add voice recognition feature,Users have requested a voice recognition feature to enhance the application's accessibility.,feature,User Interface,Low
CRASH-0015,Application crashes on startup for Android 11,The application crashes immediately upon startup on devices running Android 11 due to a compatibility issue.,crash,Mobile App,Critical
UI-0016,Language preference not saved across sessions,"Users report that their selected language preference is not saved, defaulting to English upon every login.",ui,User Settings,Medium
PERF-0017,Increased load time when switching languages,"Switching between languages causes noticeable delays in loading content, impacting user experience.",performance,UI,Medium
API-0018,Language-specific API calls fail intermittently,"API calls that require language-specific data fail intermittently, resulting in missing information for users.",integration,API,High
DB-0019,Database entries not translated correctly,"Some database entries are not properly translated, showing default language entries instead.",data,Database,Low
UI-0020,Language toggle button unresponsive,"The language toggle button does not respond to user clicks, preventing language switching.",ui,User Interface,High
SEC-0021,Session hijacking vulnerability in language settings,"A vulnerability exists that allows session hijacking when users change language settings, posing a security risk.",security,User Settings,Critical
FEA-0022,Language dropdown lacks popular languages,"The language selection dropdown does not include several popular languages, limiting accessibility for users.",feature,UI,Medium
INT-0023,Translation API rate limit exceeded,"The application exceeds the rate limit for the translation API, resulting in untranslated content.",integration,API,High
DATA-0024,Missing language packs for certain regions,"Users in specific regions report missing language packs, preventing full application functionality.",data,Localization,Medium
PERF-0025,Slow performance due to large translation files,Large translation files are causing slow performance during language switch operations.,performance,Localization,High
CRASH-0026,Crash when switching language with unsaved data,The application crashes if the user attempts to switch languages while having unsaved data in forms.,crash,User Interface,Critical
UI-0027,Incomplete translation on help pages,"Some help pages contain incomplete translations, displaying mixed language content.",ui,Help Center,Low
FEA-0028,Lack of RTL support for Arabic language,"The application does not properly support right-to-left text orientation for Arabic, affecting readability.",feature,UI,Medium
API-0029,Error handling in translation API is inconsistent,Inconsistent error handling in the translation API causes untranslated strings to appear without fallback options.,integration,API,Medium
FEA-0030,Enable multi-language support in user profile,"The user profile section lacks multi-language support, displaying content only in the default language.",feature,User Profile,High
UI-0031,Language selection does not persist post-login,"Selected language reverts to default after login, requiring users to select their preferred language each time.",ui,Authentication,Medium
INT-0032,Translation service fails for certain languages,"The translation service fails to provide support for specific languages, resulting in untranslated content.",integration,Localization,High
SEC-0033,Language preferences exposed via API,"User language preferences are exposed through the API, leading to potential privacy concerns.",security,API,Critical
DATA-0034,Incorrect language files loaded for users,"Users are served incorrect language files, leading to confusion and incorrect display of content.",data,Localization,Critical
FEA-0035,Multi-language support needed in notifications,"System notifications are not available in multiple languages, affecting non-English speaking users.",feature,Notifications,High
PERF-0036,Performance issue with multi-language content loading,Loading times increase significantly when rendering pages with multi-language content.,performance,Web,Medium
CRASH-0037,Crash on language selection screen,The application crashes when users attempt to select a new language from the settings menu.,crash,Settings,Critical
UI-0038,UI elements overlap in different languages,"UI elements overlap when rendered in certain languages, leading to a cluttered interface.",ui,User Interface,High
API-0039,API returns errors for language-specific requests,"Requests to the API for language-specific content result in errors, failing to serve appropriate data.",integration,API,High
FEA-0040,Multi-language support lacking in chat feature,"The chat feature does not support multiple languages, limiting communication for international users.",feature,Chat,Medium
INT-0041,Integration issue with third-party translation service,"The integration with the third-party translation service is unreliable, causing frequent failures in language support.",integration,API,High
SEC-0042,Language selection vulnerability in login,"A security vulnerability allows manipulation of language settings during the login process, potentially leading to unauthorized access.",security,Authentication,Critical
DATA-0043,Incorrect default language on first login,"New users are not assigned the correct default language based on their region, affecting their initial experience.",data,User Management,High
PERF-0044,High memory usage when loading language packs,"Loading multiple language packs simultaneously causes high memory usage, slowing down the application.",performance,Localization,Medium
UI-0045,Text truncation issues in non-English languages,"Text is truncated in certain non-English languages due to improper UI scaling, affecting readability.",ui,User Interface,High
UI-0101,Dashboard chart colors are incorrect,"Chart colors on the dashboard do not match the design specification, causing confusion for users.",ui,Dashboard,Low
MOB-0102,Mobile app icon missing,"The application icon is not displayed on certain Android devices, making it hard for users to identify the app.",ui,Mobile,Medium
NOT-0103,Email notification delay,"Email notifications are delayed by up to 30 minutes, impacting user engagement and response times.",performance,Notifications,High
SEC-0104,Weak password policy enforcement,"Users are able to set passwords that do not meet the required complexity standards, posing a security risk.",security,Authentication,Critical
API-0105,API timeout during high traffic,"The API service times out under high load, affecting the ability to retrieve data in real-time.",performance,API,Critical
DB-0106,Database backup failure,"Scheduled database backups are failing intermittently, risking data loss if a recovery is needed.",data,Database,High
PERF-0107,Slow image loading on gallery page,"Images on the gallery page take several seconds to load, leading to a poor user experience.",performance,Gallery,Medium
UI-0108,Misaligned text on settings page,Text fields on the settings page are misaligned when viewed on smaller screens.,ui,Settings,Low
INT-0109,Integration failure with third-party analytics,Data is not being sent to the third-party analytics service due to an API mismatch.,integration,Analytics,High
DATA-0110,Incorrect user data displayed,"User profiles are displaying incorrect data due to caching issues, leading to confusion.",data,User Profiles,Medium
UI-0111,Button not responding to clicks,"The 'Submit' button on the contact form does not respond, preventing users from submitting inquiries.",ui,Contact Form,High
SEC-0112,User session not invalidated on logout,"User sessions are not properly terminated upon logout, allowing unauthorized access in subsequent sessions.",security,Authentication,Critical
SYNC-0113,Data sync issues between devices,"Changes made on one device do not appear on another due to sync problems, causing inconsistent data views.",integration,Sync Service,High
PERF-0114,High CPU usage on idle,"The application consumes excessive CPU resources when idle, leading to increased energy consumption.",performance,Core,Medium
MOB-0115,Crash on app launch for iOS devices,"The application crashes upon launch on iOS devices running the latest OS version, preventing access.",crash,Mobile,Critical
FEAT-0116,Inability to select region-specific content,"Users cannot choose region-specific content, though the feature is advertised, leading to confusion.",feature,Content Management,Medium
CFG-0117,Configuration settings not saving,"Changes to configuration settings are not saved across sessions, leading to inconsistent user experiences.",feature,Configuration,High
API-0118,API call returns outdated data,"The API sometimes returns stale data due to caching issues, affecting data accuracy.",data,API,Medium
INT-0119,Partial integration with payment gateway,"The payment gateway integration does not support all available payment methods, limiting user options.",integration,Payment,High
UI-0120,Localization settings not updating UI,"UI elements do not update when localization settings are changed, causing confusion for users.",ui,Localization,Medium
PERF-0121,Slow response time for language change,Changing the language in the application settings results in a noticeable delay before the UI updates.,performance,Settings,Low
DB-0122,Database not supporting special characters,"The database fails to store special characters from certain languages, leading to data loss.",data,Database,High
SEC-0123,Insecure storage of language preferences,"Language preferences are stored in plaintext, posing a potential security risk if accessed.",security,User Preferences,Medium
FEAT-0124,Missing language-specific help content,"Help content is not available in all supported languages, reducing accessibility for non-English speakers.",feature,Help,Medium
UI-0125,Text overflow in translated strings,"Some translated text strings overflow their container, causing UI layout issues on smaller screens.",ui,Interface,Low
INT-0126,Partial support for RTL languages,"Right-to-left language support is incomplete, causing layout and alignment issues in the UI.",integration,UI Framework,High
MOB-0127,Inconsistent language settings across devices,"Language settings do not sync across devices, leading to inconsistent user experiences.",feature,Sync Service,Medium
CFG-0128,Default language not applied on first login,"The default language setting is not applied when a user logs in for the first time, causing confusion.",feature,Authentication,Medium
API-0129,Incorrect language data from API,The API sometimes returns language data that does not match the user's selected language preference.,data,API,Medium
FEAT-0130,Failed to add new language in settings,"Users are unable to add a new language through the settings, despite it being available in the list.",feature,Settings,High
INT-0131,Multi-language support not functioning,"The multi-language feature is not working as expected, with users unable to switch between languages.",integration,Localization,Critical
UI-0132,UI elements not translated in all languages,Some UI components remain in the default language even after switching to a different language.,ui,Interface,High
SYNC-0133,Language preference not syncing,"User language preferences are not being synced across devices, leading to inconsistent experiences.",feature,Sync Service,Medium
DB-0134,Database not indexing language data,"Language-specific data is not being indexed correctly, resulting in slow query responses.",data,Database,High
SEC-0135,Language files accessible without authentication,"Language files can be accessed without proper authentication, posing a potential security risk.",security,Localization,Critical
PERF-0136,Long load times when changing language,"The application experiences significant delays when switching languages, affecting usability.",performance,Settings,Medium
CFG-0137,Language settings revert after logout,"Language preferences revert to default upon logging out and back in, frustrating users.",feature,Authentication,Medium
API-0138,API fails to deliver localization data,"Localization data is not being delivered via the API, preventing the application from displaying the correct language.",integration,API,High
